,date,mintemp,maxtemp,meantemp,minpres,maxpres,meanpres,maxhumi,minhumi,meanhumi,meanwdspd,maxdewpt,mindewpt,meandewpt,N_wd,NW_wd,W_wd,SW_wd,S_wd,SE_wd,E_wd,NE_wd,nocld,little,some,much,cloudy,rain
100,5.01.2013,-14.0,0.0,-6.597222222222222,766.6,772.7,769.8555555555555,93.0,17.0,57.611111111111114,2.3333333333333335,-6.0,-23.0,-14.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0
101,6.01.2013,-13.0,2.0,-5.583333333333333,768.9,777.7,772.0555555555555,93.0,24.0,55.5,2.4166666666666665,-8.0,-19.0,-14.13888888888889,1,1,1,1,1,1,1,1,1,0,0,0,0,0
102,7.01.2013,-14.0,3.0,-5.305555555555555,768.1,780.0,772.6013888888889,100.0,20.0,61.43055555555556,2.0555555555555554,-5.0,-19.0,-12.722222222222221,1,1,1,1,1,1,1,1,1,0,0,0,0,0
103,8.01.2013,-12.0,4.0,-4.666666666666667,764.3,775.5,770.0749999999999,100.0,22.0,63.375,2.375,-4.0,-23.0,-11.597222222222221,1,0,0,0,0,0,0,0,1,0,0,0,0,0
104,9.01.2013,-15.0,3.0,-4.638888888888889,768.1,775.5,771.4124999999999,100.0,15.0,64.22222222222223,1.9861111111111112,-4.0,-23.0,-11.63888888888889,1,1,1,1,1,1,1,1,1,0,0,0,0,0
105,10.01.2013,-14.0,-3.0,-8.375,769.6,771.9,770.9125,93.0,46.0,70.0,1.875,-7.0,-18.0,-13.166666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0
106,11.01.2013,-9.0,1.0,-4.130434782608695,766.6,769.6,768.2086956521739,93.0,48.0,77.21739130434783,1.608695652173913,-6.0,-11.0,-7.782608695652174,1,1,1,1,1,1,1,1,1,0,0,0,0,0
107,12.01.2013,-13.0,-1.0,-7.291666666666667,765.8,768.9,767.5,100.0,59.0,82.29166666666667,1.4166666666666667,-7.0,-15.0,-10.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
108,13.01.2013,-8.0,0.0,-3.4583333333333335,767.3,769.6,768.4208333333332,93.0,64.0,81.33333333333333,1.7916666666666667,-5.0,-9.0,-6.333333333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,0
109,14.01.2013,-10.0,0.0,-4.833333333333333,768.1,772.7,770.5416666666666,100.0,64.0,82.45833333333333,2.5833333333333335,-4.0,-11.0,-7.541666666666667,0,0,0,0,0,1,0,0,1,0,0,0,0,0
110,15.01.2013,-9.0,-1.0,-4.958333333333333,767.3,771.9,769.8125,93.0,69.0,83.25,1.7916666666666667,-6.0,-10.0,-7.458333333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,0
111,16.01.2013,-10.0,1.0,-3.9583333333333335,771.1,777.7,774.6041666666666,93.0,25.0,50.708333333333336,3.0416666666666665,-9.0,-18.0,-13.875,0,0,0,0,0,0,0,1,1,0,0,0,0,0
112,17.01.2013,-10.0,3.0,-3.7083333333333335,775.5,780.0,777.8041666666668,68.0,20.0,42.458333333333336,2.7916666666666665,-12.0,-18.0,-15.583333333333334,1,0,0,0,0,0,0,1,1,0,0,0,0,0
113,18.01.2013,-12.0,2.0,-5.416666666666667,767.3,774.7,770.6833333333333,85.0,30.0,62.541666666666664,1.5416666666666667,-9.0,-14.0,-12.166666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0
114,19.01.2013,-10.0,3.0,-2.4583333333333335,769.6,773.9,772.1208333333334,86.0,33.0,57.791666666666664,1.9166666666666667,-8.0,-12.0,-10.208333333333334,0,0,0,0,0,0,1,0,1,0,0,0,0,0
115,20.01.2013,-4.0,-1.0,-2.375,771.9,773.9,773.1958333333332,100.0,43.0,78.625,1.3333333333333333,-3.0,-12.0,-5.958333333333333,1,1,1,1,1,1,1,1,0,0,0,0,1,0
116,21.01.2013,-6.0,4.0,-1.9583333333333333,771.1,773.4,771.7958333333332,100.0,45.0,77.83333333333333,2.0416666666666665,-4.0,-9.0,-5.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0
117,22.01.2013,-14.0,-1.0,-6.208333333333333,768.9,773.9,771.8166666666666,100.0,64.0,89.79166666666667,1.7916666666666667,-5.0,-15.0,-7.75,1,1,1,1,1,1,1,1,1,0,0,0,0,0
118,23.01.2013,-8.0,-3.0,-5.083333333333333,762.0,768.1,764.5958333333333,100.0,64.0,90.33333333333333,1.5,-5.0,-9.0,-6.5,1,1,1,1,1,1,1,1,1,0,0,0,0,0
119,24.01.2013,-7.0,5.0,-0.8333333333333334,765.8,768.9,767.1999999999999,58.0,17.0,32.5,5.5,-13.0,-21.0,-16.166666666666668,0,1,1,0,0,0,0,0,1,0,0,0,0,0
120,25.01.2013,-13.0,-1.0,-7.208333333333333,766.6,769.6,768.0833333333334,79.0,28.0,52.958333333333336,1.875,-12.0,-19.0,-15.791666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0
121,26.01.2013,-13.0,2.0,-5.833333333333333,768.9,771.9,770.6583333333333,92.0,38.0,70.25,1.625,-8.0,-14.0,-10.958333333333334,1,1,1,1,1,1,1,1,1,0,0,0,0,0
